id,timestamp,vehicle_type,image_path
1,2025-05-04 10:21:48.402496,Car,intrusion_screenshots\Car_intrusions\intrusion_0_20250504_102148.jpg
2,2025-05-04 10:21:48.467921,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_1_20250504_102148.jpg
3,2025-05-04 10:21:48.480004,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_2_20250504_102148.jpg
4,2025-05-04 10:21:54.512830,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_3_20250504_102154.jpg
5,2025-05-04 10:22:07.670386,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_4_20250504_102207.jpg
6,2025-05-04 10:22:10.366263,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_5_20250504_102210.jpg
7,2025-05-04 14:56:12.634278,Car,intrusion_screenshots\Car_intrusions\intrusion_0_20250504_145612.jpg
8,2025-05-04 14:56:13.082825,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_1_20250504_145613.jpg
9,2025-05-04 14:56:36.764914,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_2_20250504_145636.jpg
10,2025-05-04 14:56:37.675455,Jeep,intrusion_screenshots\Jeep_intrusions\intrusion_3_20250504_145637.jpg
11,2025-05-04 14:56:37.696638,Car,intrusion_screenshots\Car_intrusions\intrusion_4_20250504_145637.jpg
12,2025-05-04 14:56:47.789310,Car,intrusion_screenshots\Car_intrusions\intrusion_5_20250504_145647.jpg
13,2025-05-04 14:57:16.660858,Car,intrusion_screenshots\Car_intrusions\intrusion_6_20250504_145716.jpg
14,2025-05-04 14:57:16.675532,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_7_20250504_145716.jpg
15,2025-05-04 14:57:21.971819,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_8_20250504_145721.jpg
16,2025-05-04 20:03:33.327939,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_0_20250504_200333.jpg
17,2025-05-04 20:03:34.200882,Car,intrusion_screenshots\Car_intrusions\intrusion_1_20250504_200334.jpg
18,2025-05-04 20:03:34.207951,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_2_20250504_200334.jpg
19,2025-05-04 20:03:36.786173,Car,intrusion_screenshots\Car_intrusions\intrusion_3_20250504_200336.jpg
20,2025-05-04 20:03:37.242244,Jeep,intrusion_screenshots\Jeep_intrusions\intrusion_4_20250504_200337.jpg
21,2025-05-04 20:08:01.291788,Car,intrusion_screenshots\Car_intrusions\intrusion_0_20250504_200801.jpg
22,2025-05-04 20:08:01.303668,Jeep,intrusion_screenshots\Jeep_intrusions\intrusion_1_20250504_200801.jpg
23,2025-05-04 20:08:01.309999,Car,intrusion_screenshots\Car_intrusions\intrusion_2_20250504_200801.jpg
24,2025-05-04 20:08:08.205962,Car,intrusion_screenshots\Car_intrusions\intrusion_3_20250504_200808.jpg
25,2025-05-04 20:08:34.509361,Car,intrusion_screenshots\Car_intrusions\intrusion_4_20250504_200834.jpg
26,2025-05-04 20:08:36.705975,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_5_20250504_200836.jpg
27,2025-05-04 20:08:43.168499,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_6_20250504_200843.jpg
28,2025-05-04 20:08:43.179071,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_7_20250504_200843.jpg
29,2025-05-04 20:08:44.495616,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_8_20250504_200844.jpg
30,2025-05-04 20:09:05.098050,Car,intrusion_screenshots\Car_intrusions\intrusion_9_20250504_200905.jpg
31,2025-05-04 20:09:15.250614,Car,intrusion_screenshots\Car_intrusions\intrusion_10_20250504_200915.jpg
32,2025-05-04 20:09:27.599296,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_11_20250504_200927.jpg
33,2025-05-04 20:09:30.237796,Car,intrusion_screenshots\Car_intrusions\intrusion_12_20250504_200930.jpg
34,2025-05-04 20:17:36.951776,Car,intrusion_screenshots\Car_intrusions\intrusion_0_20250504_201736.jpg
35,2025-05-04 20:17:36.971486,Car,intrusion_screenshots\Car_intrusions\intrusion_1_20250504_201736.jpg
36,2025-05-04 20:17:36.978556,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_2_20250504_201736.jpg
37,2025-05-04 20:17:36.985469,Car,intrusion_screenshots\Car_intrusions\intrusion_3_20250504_201736.jpg
38,2025-05-04 20:17:37.451479,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_4_20250504_201737.jpg
39,2025-05-04 20:17:40.143792,Car,intrusion_screenshots\Car_intrusions\intrusion_5_20250504_201740.jpg
40,2025-05-07 15:05:03.510662,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_0_20250507_150503.jpg
41,2025-05-07 15:05:03.526612,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_1_20250507_150503.jpg
42,2025-05-07 15:05:54.607747,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_2_20250507_150554.jpg
43,2025-05-07 15:05:54.662052,Car,intrusion_screenshots\Car_intrusions\intrusion_3_20250507_150554.jpg
44,2025-05-07 15:05:56.630411,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_4_20250507_150556.jpg
45,2025-05-07 15:05:57.984769,Motorcycle,intrusion_screenshots\Motorcycle_intrusions\intrusion_5_20250507_150557.jpg
46,2025-05-07 15:06:01.938243,Jeep,intrusion_screenshots\Jeep_intrusions\intrusion_6_20250507_150601.jpg
